Applicant,Başvuru Sahibi,
Applicant Type,Başvuru Sahibi Türü,
Loan Amount cannot exceed Maximum Loan Amount of {0},Kredi Miktarı Maksimum Kredi Tutarı geçemez {0},
Loan Application,Kredi Başvurusu,
Loan Management,Kredi Yönetimi,
Loan Repayment,Kredi Geri Ödemesi,
Monthly Repayment Amount cannot be greater than Loan Amount,Aylık Geri Ödeme Tutarı Kredi Miktarı daha büyük olamaz,
Payable Amount,Ödenecek Tutar,
Payment Date,Ödeme Tarihi,
Please enter Repayment Periods,Geri Ödeme Süreleri giriniz,
Please enter repayment Amount,Lütfen geri ödeme Tutarını giriniz,
Principal Amount,anapara çiftleri,
Sanctioned Amount,tasdik edilmiş tutarlar,
Approved,Onaylandı,
Account {0} does not belong to company {1},Hesap {0} Şirkete ait değil {1},
Add Loan Security,Kredi Güvenliği Ekleme,
Against Loan,Krediye Karşı,
Against Loan:,Krediye Karşı:,
Amount paid cannot be zero,Ödenen tutarları sıfır olamaz,
Cannot create loan until application is approved,Başvuru onaylanana kadar kredi oluşturulamaz,
Loan Amount exceeds maximum loan amount of {0} as per proposed securities,"Kredi Tutarı, çekilen menkul kıymetlere göre maksimum {0} kredi tutarını aşıyor",
Loan Disbursement,Kredi Masrafı,
Loan Security,Kredi Güvenliği,
Loan Security Pledge,Kredi Güvenliği Taahhüdü,
Loan Security Pledge Created : {0},Kredi Güvenliği Rehin Oluşturuldu: {0},
Loan Security Price,Kredi Güvenliği Fiyatı,
Loan Security Price overlapping with {0},{0} ile örtüşen Kredi Güvenliği Fiyatı,
Loan Security Unpledge,Kredi Güvenliği Bilgisizliği,
Loan Security Value,Kredi Güvenliği Değeri,
Loan amount cannot be greater than {0},Kredi birimleri {0} &#39;dan fazla olamaz,
Loan is mandatory,Kredi ağları,
Penalty Amount,Ceza Tutarı,
Please select Applicant Type first,Lütfen önce Başvuru Türü'nü seçin,
Please select Loan Type for company {0},Lütfen {0} şirketi için Kredi Türü'nü seçin,
Pledge Status,Rehin Durumu,
Pledge Time,Rehin Zamanı,
Proposed Pledges are mandatory for secured Loans,Teminatlı Krediler için verilen rehinlerin dağıtımı hizmetleri,
Qty or Amount is mandatroy for loan security,Miktar veya Miktar kredi güvenliği için zorunlu,
Repayment Method is mandatory for term loans,Vadeli krediler için geri ödeme yöntemleri,
Repayment Start Date is mandatory for term loans,Vadeli krediler için geri ödeme başlangıç tarihi,
Sanctioned Amount limit crossed for {0} {1},{0} {1} için Onaylanan Tutar sınırı aşıldı,
Sanctioned Loan Amount already exists for {0} against company {1},{1} yerleştirme karşı {0} için Onaylanan Kredi Tutarı zaten var,
Valid From Time must be lesser than Valid Upto Time.,"Geçerlilik Süresi, geçerlilik Süresi&#39;nden daha az olmalıdır.",
Loan Amount is mandatory,Kredi Tutarı cezaları,
Loan amount is mandatory,Kredi tutarı zorunlu,
No valid Loan Security Price found for {0},{0} için geçerli bir Kredi Menkul Kıymet Fiyatı bulunamadı,
Loan Account and Payment Account cannot be same,Kredi Hesabı ve Ödeme Hesabı aynı olamaz,
Loan Security Pledge can only be created for secured loans,Kredi Teminat Rehni yalnızca garantili krediler için oluşturulabilir,
Applicant Name,başvuru sahibi adı,
Member,Üye,
Partially Disbursed,Kısmen Ödeme yapılmış,
Loan Closure Requested,Kredi Kapanışı İstendi,
Loan Details,Kredi Detayları,
Loan Type,Kredi Türü,
Loan Amount,Kredi Tutarı,
Is Secured Loan,Teminatlı Kredi,
Rate of Interest (%) / Year,İlgi (%) / Yılın Oranı,
Disbursement Date,Masraf Tarihi,
Disbursed Amount,Masraf Harcama Tutarı,
Is Term Loan,Vadeli Kredi,
Repayment Method,Geri Ödeme Yöntemi,
Repay Fixed Amount per Period,Dönem başına Sabit Tutar Geri Ödeme,
Repay Over Number of Periods,Sürelerinin üzeri sayısı Geri Ödeme,
Repayment Period in Months,Aylar Geri içinde Ödeme Süresi,
Monthly Repayment Amount,Aylık Geri Ödeme Tutarı,
Repayment Start Date,Geri Ödeme Başlangıç Tarihi,
Loan Security Details,Kredi Güvenliği Detayları,
Maximum Loan Value,Maksimum Kredi Değeri,
Account Info,Hesap Bilgisi,
Loan Account,Kredi Hesabı,
Interest Income Account,Faiz Gelir Hesabı,
Penalty Income Account,Ceza Geliri Hesabı,
Repayment Schedule,Geri Ödeme Planı,
Total Payable Amount,Toplam Ödenecek Tutar,
Total Principal Paid,Toplam Ödenen Anapara,
Total Interest Payable,Toplam Ödenecek Faiz,
Total Amount Paid,Toplam Ödenen Tutar,
Loan Manager,Kredi Yöneticisi,
Loan Info,Kredi Bilgisi,
Rate of Interest,Faiz Oranı,
Proposed Pledges,Gelişmiş Rehinler,
Maximum Loan Amount,Maksimum Kredi Tutarı,
Repayment Info,Geri Ödeme Bilgisi,
Total Payable Interest,Toplam Ödenecek Faiz,
Against Loan ,Krediye Karşı,
Loan Interest Accrual,Kredi Faiz Tahakkuku,
Amounts,Tutarlar,
Pending Principal Amount,Bekleyen Anapara Tutarı,
Payable Principal Amount,Ödenecek Anapara Tutarı,
Paid Principal Amount,Ödenen Anapara Tutarı,
Paid Interest Amount,Ödenen Faiz Tutarı,
Process Loan Interest Accrual,Kredi Faiz Tahakkuku Süreci,
Repayment Schedule Name,Geri Ödeme Planı Adı,
Payment Details,Ödeme Detayları,
Interest Payable,Ödenecek Faiz,
Amount Paid,Ödenen Tutar;,
Principal Amount Paid,Ödenen Anapara Tutarı,
Repayment Details,Geri Ödeme Ayrıntıları,
Loan Repayment Detail,Kredi Geri Ödeme Detayı,
Loan Security Name,Kredi Güvenlik Adı,
Unit Of Measure,Ölçü Birimi,
Loan Security Code,Kredi Güvenlik Kodu,
Loan Security Type,Kredi Güvenlik Türü,
Haircut %,Saç Kesimi %,
Loan  Details,Kredi Detayları,
Unpledged,taahhütsüz,
Pledged,Rehin,
Partially Pledged,Kısmen Rehin Verildi,
Securities,senetler,
Total Security Value,Toplam Güvenlik Değeri,
Loan Security Shortfall,Kredi Güvenliği Eksikliği,
Loan ,Kredi ,
Shortfall Time,Eksik Zaman,
America/New_York,Amerika / New_York,
Shortfall Amount,Eksiklik Tutarı,
